"id","name","color","group","degree","pagerank","object_id","triangles","eccentricity","closeness.centrality","betweenness.centrality","eigenvector.centrality","our.louvain"
"LOG LADY","LOG LADY","#3E85FA",1,1,0.00498720166741338,"5243960",0,4,2.61818181818182,0,0,2
"JERRY","JERRY","#FFD12B",2,4,0.0131736272280537,"5245118",6,5,3.25454545454545,0,0,2
"BEN","BEN","#FFD12B",2,5,0.0156253467858559,"5245124",7,4,2.49090909090909,48.6,0,2
"MECHANIC","MECHANIC","#FFD12B",2,3,0.0100840525054463,"5244694",3,4,2.52727272727273,0,0,2
"COLE","COLE","#1FAA54",3,12,0.0320555758930139,"5239945",33,4,2.43636363636364,101.865873015873,0,1
"TOMMY","TOMMY","#00B9DB",4,3,0.00998654597266018,"5244120",3,4,2.56363636363636,0,0,2
"GORDON","GORDON","#1FAA54",3,3,0.00884335484626124,"5241603",3,5,3.32727272727273,0,0,1
"BUCK","BUCK","#00B9DB",4,3,0.00998654597266018,"5244115",3,4,2.56363636363636,0,0,2
"LELAND","LELAND","#FFD12B",2,13,0.0474242256976141,"5242671",20,4,2.32727272727273,121.066666666667,0,2
"ALBERT","ALBERT","#1FAA54",3,8,0.0232589672423071,"5241341",28,4,2.6,0,0,1
"PETE","PETE","#3E85FA",1,1,0.00621122558221068,"5245376",0,5,3.43636363636364,0,0,3
"GRANDSON","GRANDSON","#3E85FA",1,2,0.00808309676795178,"5242971",1,4,2.56363636363636,0,0,3
"BELLHOP","BELLHOP","#1FAA54",3,1,0.0047138777060115,"5241649",0,5,3.56363636363636,0,0,1
"BETTY","BETTY","#3E85FA",1,1,0.00498720166741338,"5245907",0,4,2.61818181818182,0,0,2
"ANNIE","ANNIE","#1FAA54",3,2,0.00638496445632533,"5243608",1,5,3.38181818181818,0,0,1
"LEO","LEO","#3E85FA",1,2,0.00812162675709254,"5243782",0,5,3.07272727272727,0.833333333333333,0,3
"NADINE","NADINE","#3E85FA",1,4,0.0147692907128876,"5242915",6,4,2.49090909090909,0,0,3
"DONNA","DONNA","#00B9DB",4,11,0.0382879304574785,"5242043",17,4,2.14545454545455,98.7833333333333,0,2
"MIKE","MIKE","#1FAA54",3,9,0.0198733561046102,"5241835",29,4,2.41818181818182,35.6666666666667,0,1
"CHET","CHET","#7A40BB",0,1,0.0048447725628676,"5241316",0,5,3.61818181818182,0,0,4
"JEFFRIES","JEFFRIES","#1FAA54",3,9,0.0215517811197063,"5241714",28,4,2.58181818181818,54,0,1
"FIRST WOODSMAN","FIRST WOODSMAN","#1FAA54",3,8,0.0176999589510772,"5241793",28,4,2.6,0,0,1
"SYLVIA","SYLVIA","#FFD12B",2,4,0.0131736272280537,"5245128",6,5,3.25454545454545,0,0,2
"CABLE","CABLE","#7A40BB",0,3,0.0125336239904546,"5240328",3,4,2.89090909090909,0,0,4
"RONETTE","RONETTE","#3E85FA",1,4,0.0114129998168432,"5244238",6,4,2.32727272727273,0,0,2
"JOHNNY","JOHNNY","#FFD12B",2,4,0.0131736272280537,"5245107",6,5,3.25454545454545,0,0,2
"LAURA","LAURA","#3E85FA",1,28,0.127647982988021,"5242036",36,3,1.63636363636364,920.810317460318,0,2
"SECOND WOODSMAN","SECOND WOODSMAN","#1FAA54",3,8,0.0176999589510772,"5241831",28,4,2.6,0,0,1
"STANLEY","STANLEY","#7A40BB",0,8,0.0356622663874873,"5240030",11,4,2.58181818181818,75.1373015873016,0,4
"JACK","JACK","#7A40BB",0,1,0.00462743040450708,"5240608",0,5,3.58181818181818,0,0,4
