"journal_name","type","person","unified_name","role","degree","position","affiliation","person_reserved","role_unified","gender","country","city","affiliation_unified","expertise","expertise_multiple"
"экономические и социальные перемены: факты, тенденции, прогноз","РЕДСОВЕТ","Леонидова Галина Валентиновна","леонидова галина валентиновна"," ","к. э. н.","доцент ","Вологодский научный центр РАН","Леонидова Галина Валентиновна___ +++к. э. н.---доцент ===Вологодский научный центр РАН***Вологда, Россия","regular","f","Россия","Вологда","вологодский научный центр РАН","экономика",0
"демографическое обозрение","МЕЖДУНАРОДНЫЙ РЕДАКЦИОННЫЙ СОВЕТ","Леон Дэвид","леон дэвид"," ","PhD"," ","Лондонская школа гигиены и тропической медицины","Леон Дэвид___ +++PhD--- ***Лондонская школа гигиены и тропической медицины***Великобритания","regular","m","Великобритания","Лондон","лондонская школа гигиены и тропической медицины",NA,NA
"уровень жизни населения регионов россии","РЕДАКЦИОННЫЙ СОВЕТ","Ленчук Елена Борисовна","ленчук елена борисовна"," ","доктор экономических наук","профессор, главный научный сотрудник, руководитель научного направления «Экономическая политика»","Институт экономики РАН","Ленчук Елена Борисовна___ +++доктор экономических наук---профессор, главный научный сотрудник, руководитель научного направления «Экономическая политика»===Институт экономики РАН***Россия","regular","f","Россия","Москва","институт экономики РАН","экономика",0
"экономические и социальные перемены: факты, тенденции, прогноз","РЕДСОВЕТ","Ленчук Елена Борисовна ","ленчук елена борисовна"," ","д. э. н.","проф. ","Институт экономики РАН","Ленчук Елена Борисовна ___ +++д. э. н.---проф. ===Институт экономики РАН***Москва, Россия","regular","f","Россия","Москва","институт экономики РАН","экономика",0
"крестьяноведение","РЕДАКЦИОННЫЙ СОВЕТ","Ленц С.","ленц с."," "," "," ","Институт социальной географии","Ленц С.___ +++ --- ===Институт социальной географии***Лейпциг, Германия","regular","m","Германия","Лейпциг","институт социальной географии",NA,NA
"ойкумена. регионоведческие исследования","Редакционная коллегия","Лексютина Яна Валерьевна","лексютина яна валерьевна"," ","доктор политических наук","профессор РАН, профессор кафедры американских исследований Санкт-Петербургского государственного университета"," Санкт-Петербургский государственный университет","Лексютина Яна Валерьевна___ +++доктор политических наук---профессор РАН, профессор кафедры американских исследований Санкт-Петербургского государственного университета=== Санкт-Петербургский государственный университет***Санкт-Петербург","regular","f","Россия","Санкт-Петербург","санкт-петербургский государственный университет","политология",0
"мир россии. социология. этнология","РЕДАКЦИОННЫЙ СОВЕТ","Лексин В. Н.","лексин в. н."," ","доктор экономических наук","профессор, главный научный сотрудник","Институт системного анализа (РАН)","Лексин В. Н.___ +++доктор экономических наук---профессор, главный научный сотрудник===Институт системного анализа (РАН)*** ","regular","m","Россия","Москва","институт системного анализа РАН","экономика",0
"власть и элиты","РЕДАКЦИОННЫЙ СОВЕТ","Ледяев В. Г.","ледяев в. г."," "," "," "," ","Ледяев В. Г.___ +++ --- === ***Москва, Россия","regular","m","Россия","Москва",NA,"философия",0
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Леденёва Марина Викторовна","леденёва марина викторовна"," ","доктор экономических наук","доцент, профессор кафедры менеджмента и маркетинга","Волгоградский филиал РЭУ им. Г.В. Плеханова","Леденёва Марина Викторовна___ +++доктор экономических наук---доцент, профессор кафедры менеджмента и маркетинга===Волгоградский филиал РЭУ им. Г.В. Плеханова*** ","regular","f","Россия","Волгоград","российский экономический университет им. г.в. Плеханова (волгоград)","экономика",0
"вестник удмуртского университета. социология. политология. международные отношения","РЕДАКЦИОННЫЙ СОВЕТ","Леденёва Виктория Юрьевна","леденёва виктория юрьевна"," ","доктор социол. наук","доцент, руководитель отдела, главный научный сотрудник Института Демографических исследований Федерального научно-исследовательского социологического центра РАН"," ","Леденёва Виктория Юрьевна___ +++доктор социол. наук---доцент, руководитель отдела, главный научный сотрудник Института Демографических исследований Федерального научно-исследовательского социологического центра РАН=== ***Москва, Россия","regular","f","Россия","Москва","ИДИ ФНИСЦ РАН","социология",0
"вестник пермского университета. философия. психология. социология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Левченко Елена Васильевна","левченко елена васильевна"," ","докт. психол. наук","независимый исследователь"," ","Левченко Елена Васильевна___ +++докт. психол. наук---независимый исследователь=== ***Пермь","regular","f","Россия","Пермь","-","психология",0
"социологические исследования","Редакционная коллегия","ЛЕВИЧЕВА В. Ф.","левичева в. ф."," ","д.филос.н."," ","РГГУ","ЛЕВИЧЕВА В. Ф.___ +++д.филос.н.--- ===РГГУ*** ","regular","f","Россия","Москва","российский государственный гуманитарный университет","философия",0
"векторы благополучия: экономика и социум","РЕДКОЛЛЕГИЯ","Левин Сергей Николаевич","левин сергей николаевич"," ","д-р экон. наук","профессор, кафедра экономической теории и государственного управления, Институт экономики и управления","Кемеровский государственный университет","Левин Сергей Николаевич___ +++д-р экон. наук---профессор, кафедра экономической теории и государственного управления, Институт экономики и управления===Кемеровский государственный университет***Кемерово, Россия","regular","m","Россия","Кемерово","финансовый университет при правительстве рф","экономика",0
"мир россии. социология. этнология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Левин С. Н.","левин сергей николаевич"," ","доктор экономических наук","профессор, Департамент экономической теории","Финансовый университет при Правительстве Российской Федерации","Левин С. Н.___ +++доктор экономических наук---профессор, Департамент экономической теории===Финансовый университет при Правительстве Российской Федерации*** ","regular","m","Россия","Кемерово","финансовый университет при правительстве рф","экономика",0
"известия высших учебных заведений. социология. экономика. политика","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Левашов Виктор Константинович","левашов виктор константинович"," ","д. с. н.","профессор, руководитель отдела стратегических социальных и социально-политических исследований Института социально-политических исследований РАН"," ","Левашов Виктор Константинович___ +++д. с. н.---профессор, руководитель отдела стратегических социальных и социально-политических исследований Института социально-политических исследований РАН=== ***","regular","m","Россия","Москва","ИСПИ ФНИСЦ РАН","социология",0
"мониторинг общественного мнения: экономические и социальные перемены","Редакционная коллегия","ЛЕВАШОВ ВИКТОР КОНСТАНТИНОВИЧ","левашов виктор константинович"," ","Доктор социологических наук","руководитель отдела ИСПИ РАН, член Научно-экспертного совета ВЦИОМ"," ","ЛЕВАШОВ ВИКТОР КОНСТАНТИНОВИЧ___ +++Доктор социологических наук---руководитель отдела ИСПИ РАН, член Научно-экспертного совета ВЦИОМ=== ***Россия","regular","m","Россия","Москва","ИСПИ ФНИСЦ РАН","социология",0
"наука. культура. общество","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Левашов Виктор Константинович","левашов виктор константинович","гл. редактор","доктор социологических наук","директор","Институт социально-политических исследований ФНИСЦ РАН","Левашов Виктор Константинович___гл. редактор+++доктор социологических наук---директор===Институт социально-политических исследований ФНИСЦ РАН***Москва, Россия","chief","m","Россия","Москва","ИСПИ ФНИСЦ РАН","социология",0
"социологические исследования","Международный редакционный совет","ЛЕВАШОВ В. К. ","левашов виктор константинович"," ","д.социол.н.","проф.","ИСПИ ФНИСЦ РАН","ЛЕВАШОВ В. К. ___ +++д.социол.н.---проф.===ИСПИ ФНИСЦ РАН***Москва, Россия","regular","m","Россия","Москва","ИСПИ ФНИСЦ РАН","социология",0
"вестник пермского национального исследовательского политехнического университета. социально-экономические науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Лебедева-Несевря Н. А.","лебедева-несевря наталья александровна"," ","д-р социол. наук","доц.","Перм. гос. нац. исслед. ун-т","Лебедева-Несевря Н. А.___ +++д-р социол. наук---доц.===Перм. гос. нац. исслед. ун-т***Пермь, Россия","regular","f","Россия","Пермь","пермский государственный национальный исследовательский университет","социология",0
"вестник пермского университета. философия. психология. социология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Лебедева-Несевря Наталья Александровна","лебедева-несевря наталья александровна"," ","докт. социол. наук","доцент, профессор кафедры социологии, зав. лабораторией методов анализа социальных рисков, Федеральный научный центр медико-профилактических технологий управления рисками здоровью населения","Пермский государственный национальный исследовательский университет","Лебедева-Несевря Наталья Александровна___ +++докт. социол. наук---доцент, профессор кафедры социологии, зав. лабораторией методов анализа социальных рисков, Федеральный научный центр медико-профилактических технологий управления рисками здоровью населения===Пермский государственный национальный исследовательский университет***Пермь","regular","f","Россия","Пермь","пермский государственный национальный исследовательский университет","социология",0
"социология медицины","Редакционная коллегия","Лебедева-Несевря Наталья Александровна","лебедева-несевря наталья александровна"," ","доктор социологических наук"," доцент, заведующая лабораторией","ФБУН «Федеральный научный центр медико-профилактических технологий управления рисками здоровью населения» Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека","Лебедева-Несевря Наталья Александровна___ +++доктор социологических наук--- доцент, заведующая лабораторией===ФБУН «Федеральный научный центр медико-профилактических технологий управления рисками здоровью населения» Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека***Россия","regular","f","Россия","Пермь","пермский государственный национальный исследовательский университет","социология",0
"общество: социология, психология, педагогика","Редакционная коллегия","Лебедева Оксана Валерьевна","лебедева оксана валерьевна"," ","Доктор психологических наук","доцент кафедры практической психологии","Нижегородский государственный педагогический университет имени Козьмы Минина","Лебедева Оксана Валерьевна___ +++Доктор психологических наук---доцент кафедры практической психологии===Нижегородский государственный педагогический университет имени Козьмы Минина*** ","regular","f","Россия","Нижний Новгород","нижегородский государственный педагогический университет","психология",0
"logos et praxis","Редакционный совет","Лебедева Надежда Николаевна","лебедева надежда николаевна"," ","доктор экономических наук","профессор кафедры экономической теории, региональной экономики и предпринимательства","Волгоградский государственный университет","Лебедева Надежда Николаевна___ +++доктор экономических наук---профессор кафедры экономической теории, региональной экономики и предпринимательства===Волгоградский государственный университет***Волгоград","regular","f","Россия","Волгоград","волгоградский государственный университет","экономика",0
"ойкумена. регионоведческие исследования","Редакционная коллегия","Лебедева Марина Михайловна","лебедева марина михайловна"," ","доктор политических наук, кандидат психологических наук","профессор, заведующий кафедрой мировых политических процессов","Московский государственный институт международных отношений","Лебедева Марина Михайловна___ +++доктор политических наук, кандидат психологических наук---профессор, заведующий кафедрой мировых политических процессов===Московский государственный институт международных отношений***Москва","regular","f","Россия","Москва","мгимо","политология",1
"социологические исследования","Редакционная коллегия","ЛЕБЕДЕВ С. Д.","лебедев сергей дмитриевич"," ","к.социол.н.","доц.","БелГНИУ","ЛЕБЕДЕВ С. Д.___ +++к.социол.н.---доц.===БелГНИУ*** ","regular","m","Россия","Белгород","белгородский государственный национальный исследовательский университет","социология",0
"журнал социологии и социальной антропологии","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Лебарон Фредерик","лебарон фредерик"," ","Dr.","профессор","Высшая нормальная школа Париж-Сакле","Лебарон Фредерик___ +++Dr.---профессор===Высшая нормальная школа Париж-Сакле***Париж, Франция","regular","m","Франция","Париж","высшая нормальная школа",NA,NA
"социология города","РЕДАКЦИОННЫЙ СОВЕТ","Леандро Мадрацо Агудин","леандро мадрацо агудин"," ","д-р архит.","проф.","университет Рамона Ллулла","Леандро Мадрацо Агудин___ +++д-р архит.---проф.===университет Рамона Ллулла***Барселона","regular","m","Испания","Барселона","университет рамона ллулла",NA,NA
"коммуникология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","ЛЕ НГОК ХУНГ","ле нгок хунг"," ","PhD"," заместитель директора Института социологии Государственной административно-политической Академии имени Хо Ши Мина"," Государственная административно-политическая Академия имени Хо Ши Мина","ЛЕ НГОК ХУНГ___ +++PhD, заместитель директора Института социологии Государственной административно-политической Академии имени Хо Ши Мина=== Государственная административно-политическая Академия имени Хо Ши Мина***Ханой, Вьетнам","regular","m","Вьетнам","Ханой","государственная административно-политическая академия имени хо ши мина",NA,NA
"primo aspectu","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Лашук Ирина Валерьевна","лашук ирина валерьевна"," ","кандидат социологических наук","доцент, заместитель директора по научной работе Института социологии НАН Беларуси"," ","Лашук Ирина Валерьевна___ +++кандидат социологических наук---доцент, заместитель директора по научной работе Института социологии НАН Беларуси=== ***Белоруссия","regular","f","Беларусь",NA,"институт социологии НАН беларуси",NA,NA
"ойкумена. регионоведческие исследования","Редакционная коллегия","Латушко Юрий Викторович","латушко юрий викторович"," ","кандидат исторических наук","заведующий Центром островной и прибрежной антропологии АТР","Институт истории, археологии и этнографии народов Дальнего Востока ДВО РАН","Латушко Юрий Викторович___ +++кандидат исторических наук---заведующий Центром островной и прибрежной антропологии АТР===Институт истории, археологии и этнографии народов Дальнего Востока ДВО РАН***Владивосток","regular","m","Россия","Владивосток","институт истории, археологии и этнографии народов дальнего востока ДВО РАН","история",0
"социологические исследования","РЕДАКЦИЯ","ЛАТОВ Ю. В. ","латов ю. в."," "," "," "," ","ЛАТОВ Ю. В. ___ +++ --- === ***  ","regular","m","","",NA,NA,NA
"вестник московского государственного лингвистического университета. общественные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Лапшов В. А.","лапшов в. а."," ","доктор социологических наук","профессор заведующий кафедрой социологии Института международных отношений и социально-политических наук","МГЛУ","Лапшов В. А.___ +++доктор социологических наук---профессор заведующий кафедрой социологии Института международных отношений и социально-политических наук===МГЛУ*** ","regular","m","Россия","Москва","московский государственный лингвистический университет","социология",0
"вестник московского государственного лингвистического университета. общественные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Лапинс Вульф","лапинс вульф"," ","Doctor honoris causa multiplex, доктор политических наук","профессор старший научный сотрудник WeltTrends Institut für Internationale Politik"," WeltTrends Institut für Internationale Politik","Лапинс Вульф___ +++Doctor honoris causa multiplex, доктор политических наук---профессор старший научный сотрудник WeltTrends Institut für Internationale Politik=== WeltTrends Institut für Internationale Politik***Германия","regular","m","Германия","Потсдам","welttrends institut für internationale politik",NA,NA
"власть и элиты","РЕДАКЦИОННЫЙ СОВЕТ","Лапина Н. Ю.","лапина н. ю."," "," "," "," ","Лапина Н. Ю.___ +++ --- === ***Москва, Россия","regular","f","Россия","Москва",NA,"политология",0
"социология медицины","Редакционный совет","Ланска Дуглас Джон","ланска дуглас джон"," ","доктор медицинских наук","профессор","ФГАОУ ВО «Первый Московский государственный медицинский университет имени И.М. Сеченова» Министерства здравоохранения Российской Федерации (Сеченовский Университет)","Ланска Дуглас Джон___ +++доктор медицинских наук---профессор===ФГАОУ ВО «Первый Московский государственный медицинский университет имени И.М. Сеченова» Министерства здравоохранения Российской Федерации (Сеченовский Университет)***Россия","regular","m","Россия","Москва","сеченовский университет","медицина",0
"вестник санкт-петербургского университета. социология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ламбропоулоу Эффи","ламбропоулоу эффи"," ","доктор социологических наук","профессор","Пантейон университет социальных и политических наук","Ламбропоулоу Эффи___ +++доктор социологических наук---профессор===Пантейон университет социальных и политических наук***Афины, Греция","regular","f","Греция","Афины","пантейон университет социальных и политических наук",NA,NA
"научный результат. социология и управление","Члены редколлегии","Ламажаа Чимиза Кудер-ооловна","ламажаа чимиза кудер-ооловна"," ","доктор философских наук","академик Международной академии наук (IAS, Инсбрук, Австрия), заместитель директора по научной работе, Институт фундаментальных и прикладных исследований Московского гуманитарного университета","Московский гуманитарный университет","Ламажаа Чимиза Кудер-ооловна___ +++доктор философских наук---академик Международной академии наук (IAS, Инсбрук, Австрия), заместитель директора по научной работе, Институт фундаментальных и прикладных исследований Московского гуманитарного университета===Московский гуманитарный университет***Москва, Россия","regular","f","Россия","Москва","московский гуманитарный университет","философия",0
"социология города","РЕДАКЦИОННЫЙ СОВЕТ","Елена Геннадьевна Лактюхина","лактюхина елена геннадьевна","заместитель гл. редактора","канд. социол. наук"," ","ВолгГТУ","Елена Геннадьевна Лактюхина___заместитель гл. редактора+++канд. социол. наук--- ===ВолгГТУ***Волгоград","middle","f","Россия","Волгоград","волгоградский государственный технический университет","социология",0
"экономические и социальные перемены: факты, тенденции, прогноз","РЕДКОЛЛЕГИЯ","Лаженцев Виталий Николаевич","лаженцев виталий николаевич"," ","Доктор географических наук","Член-корреспондент РАН, профессор Институт социально-экономических и энергетических проблем Севера Коми научного центра УрО РАН","УрО РАН","Лаженцев Виталий Николаевич___ +++Доктор географических наук---Член-корреспондент РАН, профессор Институт социально-экономических и энергетических проблем Севера Коми научного центра УрО РАН===УрО РАН***Сыктывкар, Россия","regular","m","Россия","Сыктывкар","коми научный центр УрО РАН","география",0
"вестник удмуртского университета. социология. политология. международные отношения","БЕЗ СЕКЦИИ","Ладыжец Наталья Сергеевна","ладыжец наталья сергеевна","главный редактор","доктор филос. наук","профессор, Заслуженный деятель науки Удмуртской Республики, Заслуженный работник высшей школы Российской Федерации, зав. кафедрой социологии","Удмуртский государственный университет","Ладыжец Наталья Сергеевна___главный редактор+++доктор филос. наук---профессор, Заслуженный деятель науки Удмуртской Республики, Заслуженный работник высшей школы Российской Федерации, зав. кафедрой социологии===Удмуртский государственный университет***Ижевск, Россия","chief","f","Россия","Ижевск","удмуртский государственный университет","философия",0
"вестник удмуртского университета. социология. политология. международные отношения","РЕДАКЦИОННЫЙ СОВЕТ","Ладыжец Наталья Сергеевна","ладыжец наталья сергеевна"," ","доктор филос. наук","профессор, зав. кафедрой социологии Института истории и социологии Удмуртского государственного университета"," ","Ладыжец Наталья Сергеевна___ +++доктор филос. наук---профессор, зав. кафедрой социологии Института истории и социологии Удмуртского государственного университета=== ***Ижевск, Россия","regular","f","Россия","Ижевск","удмуртский государственный университет","философия",0
"вестник томского государственного университета. философия. социология. политология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ладов В.А.","ладов в.а."," ","доктор филос. наук","профессор"," ","Ладов В.А.___ +++доктор филос. наук---профессор=== ***Томск, Россия","regular","m","Россия","Томск",NA,"философия",0
"общество: социология, психология, педагогика","Международная редакционная коллегия","Кюскиева-Арабска Екатерина Димитрова","кюскиева-арабска екатерина димитрова"," ","Кандидат социологических наук, PhD in Administration and Management","доцент, вице-декан факультета экономики и менеджмента, руководитель отдела национальных и международных проектов и секретарь научного совета Высшего училища агробизнеса и регионального развития, президент Академии инноваций и устойчивости"," ","Кюскиева-Арабска Екатерина Димитрова___ +++Кандидат социологических наук, PhD in Administration and Management---доцент, вице-декан факультета экономики и менеджмента, руководитель отдела национальных и международных проектов и секретарь научного совета Высшего училища агробизнеса и регионального развития, президент Академии инноваций и устойчивости=== ***Пловдив, Республика Болгария","regular","f","Болгария","Пловдив","высшая школа агробизнеса и регионального развития",NA,NA
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Кюскиева-Арабска Екатерина Димитрова","кюскиева-арабска екатерина димитрова"," ","кандидат социологических наук, PhD in Administration and Management","доцент, вице-декан факультета экономики и менеджмента, руководитель отдела национальных и международных проектов и секретарь научного совета Высшего училища агробизнеса и регионального развития, президент Академии инноваций и устойчивости"," ","Кюскиева-Арабска Екатерина Димитрова___ +++кандидат социологических наук, PhD in Administration and Management---доцент, вице-декан факультета экономики и менеджмента, руководитель отдела национальных и международных проектов и секретарь научного совета Высшего училища агробизнеса и регионального развития, президент Академии инноваций и устойчивости=== ***Пловдив, Республика Болгария","regular","f","Болгария","Пловдив","высшая школа агробизнеса и регионального развития",NA,NA
"экономические и социальные перемены: факты, тенденции, прогноз","РЕДКОЛЛЕГИЯ","Кшиштоф Т. Конеки","кшиштоф т. конеки"," "," ","проф. ","Лодзинский университет","Кшиштоф Т. Конеки___ +++ ---проф. ===Лодзинский университет, Лодзь, Польша","regular","m","Польша","Лодзь","лодзинский университет",NA,NA
"урбанистика","РЕДАКЦИОННЫЙ СОВЕТ","Кушлин Валерий Иванович","кушлин валерий иванович"," ","доктор экономических наук","профессор, заслуженный экономист РФ; заведующий кафедрой государственного регулирования экономики Института государственной службы и управления","Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации","Кушлин Валерий Иванович___ +++доктор экономических наук---профессор, заслуженный экономист РФ; заведующий кафедрой государственного регулирования экономики Института государственной службы и управления===Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации***Москва, Россия","regular","m","Россия","Москва","российская академия народного хозяйства и государственной службы при президенте рф (москва)","экономика",0
"общество: социология, психология, педагогика","Редакционная коллегия","Кучерук Ирина Владимировна","кучерук ирина владимировна"," ","Доктор культурологии, кандидат педагогических наук","заведующий кафедрой дизайна, профессор кафедры истории России","Астраханский государственный университет им. В.Н. Татищева","Кучерук Ирина Владимировна___ +++Доктор культурологии, кандидат педагогических наук---заведующий кафедрой дизайна, профессор кафедры истории России===Астраханский государственный университет им. В.Н. Татищева*** ","regular","f","Россия","Астрахань","астраханский государственный университет","культурология",1
"вестник института социологии","ЧЛЕНЫ РЕДКОЛЛЕГИИ","КУЧЕНКОВА Анна Владимировна","кученкова анна владимировна"," ","кандидат социологических наук","доцент, старший научный сотрудник Центра методологии социологических исследований","Институт социологии ФНИСЦ РАН","КУЧЕНКОВА Анна Владимировна___ +++кандидат социологических наук---доцент, старший научный сотрудник Центра методологии социологических исследований===Институт социологии ФНИСЦ РАН***Москва, Россия","regular","f","Россия","Москва","ИС ФНИСЦ РАН","социология",0
"мир россии. социология. этнология","РЕДАКЦИОННЫЙ СОВЕТ","Куценко О. Д.","куценко о. д."," ","доктор социологических наук","профессор, заведующая кафедрой социальных структур и социальных отношений","Киевский Национальный университет","Куценко О. Д.___ +++доктор социологических наук---профессор, заведующая кафедрой социальных структур и социальных отношений===Киевский Национальный университет***Украина","regular","f","Украина","Киев","киевский национальный университет",NA,NA
"вестник российского университета дружбы народов. серия: социология","Редколлегия","Куропятник М. С.","куропятник м. с."," ","доктор социологических наук","профессор. Зав.кафедрой культурной антропологии и этнической социологии Санкт-Петербургского государственного университета"," Санкт-Петербургский государственный университет","Куропятник М. С.___ +++доктор социологических наук---профессор. Зав.кафедрой культурной антропологии и этнической социологии Санкт-Петербургского государственного университета=== Санкт-Петербургский государственный университет***Санкт-Петербург, Россия","regular","f","Россия","Санкт-Петербург","санкт-петербургский государственный университет","социология",0
