"journal_name","type","person","unified_name","role","degree","position","affiliation","person_reserved","role_unified","gender","country","city","affiliation_unified","expertise","expertise_multiple"
"ученые записки крымского федерального университета имени в.и. вернадского. социология. педагогика. психология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Якса Н. В.","якса н. в."," ","д-р пед. н.","проф.","КРИППО","Якса Н. В.___ +++д-р пед. н.---проф.===КРИППО***Симферополь","regular","f","Россия","Симферополь","крымский республиканский институт постдипломного педагогического образования","педагогика",0
"журнал исследований социальной политики","РЕДАКЦИЯ"," Яковлева Виктория","яковлева виктория"," Заведующая редакцией, верстка"," "," "," НИУ ВШЭ"," Яковлева Виктория__ Заведующая редакцией, верстка+++ --- ===НИУ ВШЭ***Россия","middle","f","Россия","Москва","высшая школа экономики (москва)","-",0
"урбанистика","РЕДАКЦИОННЫЙ СОВЕТ","Яковенко Наталия Владимировна","яковенко наталия владимировна"," ","доктор географических наук"," директор НИИ ИТЛК","ВГЛТУ им. Г.Ф. Морозова","Яковенко Наталия Владимировна___ +++доктор географических наук--- директор НИИ ИТЛК===ВГЛТУ им. Г.Ф. Морозова***Воронеж, Россия","regular","f","Россия","Воронеж","воронежский государственный технический университет","география",0
"социологические исследования","Международный редакционный совет","ЯКОВЕНКО А. В.","яковенко а. в."," ","д. социол. н.","проф.","Луганский нац. ун-т им. В. Даля","ЯКОВЕНКО А. В.___ +++д. социол. н.---проф.===Луганский нац. ун-т им. В. Даля***Россия","regular","m","Россия","Луганск","луганский государственный университет","социология",0
"журнал исследований социальной политики","%РЕДАКЦИОННЫЙ СОВЕТ","Якобсон Лев","якобсон лев"," ","д-р экон. наук"," ","НИУ ВШЭ","Якобсон Лев___ +++д-р экон. наук--- ===НИУ ВШЭ***Россия","regular","m","Россия","Москва","высшая школа экономики (москва)","экономика",0
"мониторинг общественного мнения: экономические и социальные перемены","РЕДАКЦИЯ","ЯКИМОВА ОЛЬГА АЛЕКСАНДРОВНА","якимова ольга александровна","Редактор-переводчик","Кандидат социологических наук","Руководитель департамента издательских программ ВЦИОМ, Доцент факультета социальных наук НИУ ВШЭ. Член WAPOR и ASN","НИУ ВШЭ","ЯКИМОВА ОЛЬГА АЛЕКСАНДРОВНА___Редактор-переводчик+++Кандидат социологических наук---Руководитель департамента издательских программ ВЦИОМ, Доцент факультета социальных наук НИУ ВШЭ. Член WAPOR и ASN===НИУ ВШЭ***Москва, Россия","middle","f","Россия","Москва","высшая школа экономики (москва)","социология",0
"siberian socium","Редакционная коллегия","Ядова Майя Андреевна","ядова майя андреевна"," ","канд. социол. наук","заведующая отделом социологии и социальной психологии","Институт научной информации по общественным наукам РАН","Ядова Майя Андреевна___ +++канд. социол. наук---заведующая отделом социологии и социальной психологии===Институт научной информации по общественным наукам РАН***Москва, Россия","regular","f","Россия","Москва","ИНИОН РАН","социология",0
"laboratorium: журнал социальных исследований","РЕДАКЦИОННАЯ КОЛЛЕГИЯ"," Юрчак Алексей","юрчак алексей"," "," "," ","Калифорнийский университет в Беркли"," Юрчак Алексей___ +++ --- ===Калифорнийский университет в Беркли***США","regular","m","США","Беркли","калифорнийский университет в беркли",NA,NA
"известия тульского государственного университета. гуманитарные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Юрков С. Е.","юрков с. е."," ","д-р филос. наук"," ","ТулГУ","Юрков С. Е.___ +++д-р филос. наук--- ===ТулГУ***Тула","regular","m","Россия","Тула","тульский государственный университет","философия",0
"социологические исследования","Редакционная коллегия","ЮРЕВИЧ А. В.","юревич а. в."," ","чл.-корр. РАН"," ","ИП РАН","ЮРЕВИЧ А. В.___ +++чл.-корр. РАН--- ===ИП РАН*** ","regular","m","Россия","Москва","институт психологии РАН","психология",0
